request_id,method,params,latency_ms,ok,response
eval-1778682657571-0,setValueLedBlinky,true,3.151,True,"{""LedState"": true}"
eval-1778682657821-1,setValueLedBlinky,true,1.44,True,"{""LedState"": true}"
eval-1778682658072-2,setValueLedBlinky,true,1.613,True,"{""LedState"": true}"
eval-1778682658323-3,setValueLedBlinky,true,0.952,True,"{""LedState"": true}"
eval-1778682658573-4,setValueLedBlinky,true,0.857,True,"{""LedState"": true}"
eval-1778682658824-5,setValueLedBlinky,true,0.855,True,"{""LedState"": true}"
eval-1778682659075-6,setValueLedBlinky,true,0.964,True,"{""LedState"": true}"
eval-1778682659326-7,setValueLedBlinky,true,1.032,True,"{""LedState"": true}"
eval-1778682659576-8,setValueLedBlinky,true,2.601,True,"{""LedState"": true}"
eval-1778682659827-9,setValueLedBlinky,true,1.295,True,"{""LedState"": true}"
eval-1778682660078-10,setValueLedBlinky,true,2.325,True,"{""LedState"": true}"
eval-1778682660329-11,setValueLedBlinky,true,0.842,True,"{""LedState"": true}"
eval-1778682660580-12,setValueLedBlinky,true,1.052,True,"{""LedState"": true}"
eval-1778682660830-13,setValueLedBlinky,true,1.432,True,"{""LedState"": true}"
eval-1778682661081-14,setValueLedBlinky,true,1.167,True,"{""LedState"": true}"
eval-1778682661332-15,setValueLedBlinky,true,0.993,True,"{""LedState"": true}"
eval-1778682661582-16,setValueLedBlinky,true,0.887,True,"{""LedState"": true}"
eval-1778682661833-17,setValueLedBlinky,true,1.136,True,"{""LedState"": true}"
eval-1778682662084-18,setValueLedBlinky,true,2.219,True,"{""LedState"": true}"
eval-1778682662334-19,setValueLedBlinky,true,1.61,True,"{""LedState"": true}"
eval-1778682662585-20,setValueLedBlinky,true,1.359,True,"{""LedState"": true}"
eval-1778682662836-21,setValueLedBlinky,true,1.256,True,"{""LedState"": true}"
eval-1778682663087-22,setValueLedBlinky,true,1.235,True,"{""LedState"": true}"
eval-1778682663337-23,setValueLedBlinky,true,1.358,True,"{""LedState"": true}"
